subject_ID,Gender,ExactAge,FlooredAge,Connect4DataChecked,MARSDataChecked,QualtricsDataChecked,ConsentFormEnd,FOSEnd,TotalStudyTime,LatestOtherMaRSDate,TimeBetweenMaRS,What is your race?:,Are you Hispanic?:
804,M,14.1753,14,Y,Y,Y,1/26/21 14:27,1/26/21 14:53,0:25:49,NA,NA,Caucasian/White,No
805,M,11.989,11,Y,Y,Y,1/26/21 15:07,1/26/21 15:33,0:26:16,NA,NA,Caucasian/White,No
806,M,8.3945,8,Y,Y,Y,2/1/21 14:50,2/1/21 15:23,0:32:55,NA,NA,Caucasian/White,No
870,F,10.6192,10,Y,Y,Y,1/26/21 12:24,1/26/21 12:51,0:26:40,NA,NA,Mixed Race,No
814,F,8.8877,8,Y,Y,Y,2/6/21 12:07,2/6/21 12:34,0:26:21,NA,NA,Mixed Race,No
810,M,10.0411,10,Y,Y,Y,1/28/21 9:28,1/28/21 9:52,0:23:59,NA,NA,Caucasian/White,No
811,F,8.8658,8,Y,DATA SAVED TWICE,Y,1/28/21 10:02,1/28/21 10:27,0:25:04,NA,NA,Caucasian/White,No
872,F,8.9041,8,Y,Y,Y,1/31/21 15:29,1/31/21 16:01,0:32:10,NA,NA,Mixed Race,No
874,M,15.8986,15,Y,DATA SAVED TWICE,Y,1/28/21 16:20,1/28/21 16:57,0:36:52,NA,NA,Caucasian/White,No
875,F,9.5616,9,Y,Y,Y,1/28/21 12:14,1/28/21 12:42,0:28:25,NA,NA,Caucasian/White,No
876,M,13.4712,13,Y,DATA SAVED TWICE,Y,1/28/21 11:37,1/28/21 12:11,0:34:02,NA,NA,Black/African American,No
877,M,16.6493,16,Y,DATA SAVED TWICE,Y,1/29/21 8:14,1/29/21 8:53,0:39:21,NA,NA,Caucasian/White,No
878,F,13.3781,13,Y,Y,Y,1/28/21 13:41,1/28/21 14:15,0:33:16,NA,NA,Caucasian/White,No
262,F,9.8685,9,Y,Y,Y,4/18/21 16:49,4/18/21 17:14,0:25:02,NA,NA,Caucasian/White,No
269,F,9.7123,9,Y,Y,Y,4/15/21 18:51,4/15/21 19:18,0:26:37,NA,NA,Caucasian/White,No
892,F,11.5068,11,Y,DATA SAVED TWICE,Y,4/14/21 16:13,4/14/21 16:44,0:31:12,NA,NA,Caucasian/White,No
893,M,9.2274,9,Y,DATA SAVED TWICE,Y,4/15/21 10:19,4/15/21 11:07,0:48:10,NA,NA,Caucasian/White,Yes
883,M,14.989,14,Y,DATA SAVED TWICE,Y,4/14/21 17:22,4/14/21 17:59,0:37:25,NA,NA,Black/African American,No
884,F,15.3808,15,Y,DATA SAVED TWICE,Y,4/14/21 15:38,4/14/21 16:10,0:31:20,NA,NA,Caucasian/White,No
889,F,12.0329,12,Y,Y,Y,4/15/21 15:03,4/15/21 15:26,0:22:46,NA,NA,Mixed Race,No
890,F,14.6849,14,Y,Y,Y,4/15/21 13:27,4/15/21 13:57,0:30:21,NA,NA,Mixed Race,No
891,F,12.3753,12,Y,DATA SAVED TWICE,Y,4/15/21 7:40,4/15/21 8:16,0:36:14,NA,NA,Caucasian/White,No
291,M,16.5562,16,Y,Y,Y,4/18/21 21:46,4/18/21 22:14,0:27:12,6/16/20,306,Asian,No
293,M,13.0192,13,Y,DATA SAVED TWICE,Y,4/19/21 8:37,4/19/21 8:57,0:20:05,NA,NA,Caucasian/White,Yes
309,M,15.9452,15,Y,DATA SAVED TWICE,Y,4/23/21 17:28,4/23/21 17:57,0:29:14,NA,NA,Black/African American,No
311,F,16.3233,16,Y,Y,Y,4/17/21 8:38,4/17/21 9:01,0:23:16,NA,NA,Caucasian/White,No
329,M,16.5781,16,Y,DATA SAVED TWICE,Y,4/17/21 10:31,4/17/21 10:59,0:27:30,6/16/20,305,Caucasian/White,No
294,F,11.0055,11,Y,Y,Y,4/19/21 8:58,4/19/21 9:11,0:12:15,NA,NA,Caucasian/White,Yes
353,F,14.2219,14,Y,Y,Y,4/26/21 19:35,4/26/21 20:03,0:28:19,6/16/20,314,Caucasian/White,No
372,M,17.0712,17,Y,Y,Y,4/22/21 6:38,4/22/21 7:15,0:36:20,NA,NA,Caucasian/White,No
388,M,17.337,17,Y,DATA SAVED TWICE,Y,4/24/21 2:28,4/24/21 3:08,0:40:07,NA,NA,Asian,No
442,M,12.1205,12,Y,Y,Y,4/27/21 19:35,4/27/21 20:03,0:28:12,6/16/20,315,Caucasian/White,No
423,M,8.326,8,Y,DATA SAVED TWICE,Y,4/20/21 13:51,4/20/21 14:08,0:16:59,NA,NA,Caucasian/White,No
