subject,fold,nll
844-R_2D6PtBpvztH0yVh,3,145.2806999999999
844-R_2D6PtBpvztH0yVh,4,148.17649999999995
844-R_2D6PtBpvztH0yVh,5,151.69359999999995
846-R_z1hBUlYMwkfdbGh,1,101.61019999999998
846-R_z1hBUlYMwkfdbGh,2,99.62220000000002
846-R_z1hBUlYMwkfdbGh,3,111.14089999999999
846-R_z1hBUlYMwkfdbGh,4,116.00849999999996
846-R_z1hBUlYMwkfdbGh,5,106.62920000000001
849-R_1im5d5ENT1vk0Xm,1,116.0747
849-R_1im5d5ENT1vk0Xm,2,128.21519999999998
849-R_1im5d5ENT1vk0Xm,3,104.34249999999997
849-R_1im5d5ENT1vk0Xm,4,110.58209999999998
849-R_1im5d5ENT1vk0Xm,5,125.95539999999995
856-R_3EEYoLyNN9SpuuT,1,57.333200000000005
856-R_3EEYoLyNN9SpuuT,2,63.95029999999999
856-R_3EEYoLyNN9SpuuT,3,78.14899999999999
856-R_3EEYoLyNN9SpuuT,4,53.9558
856-R_3EEYoLyNN9SpuuT,5,66.45019999999998
858-R_3NR4vGxEweQ74vU,1,67.12089999999999
858-R_3NR4vGxEweQ74vU,2,96.39279999999998
858-R_3NR4vGxEweQ74vU,3,78.08719999999998
858-R_3NR4vGxEweQ74vU,4,97.67239999999998
858-R_3NR4vGxEweQ74vU,5,77.4681
859-R_2TIcY7St40mDSbp,1,153.91370000000012
859-R_2TIcY7St40mDSbp,2,158.69949999999997
859-R_2TIcY7St40mDSbp,3,157.15859999999992
859-R_2TIcY7St40mDSbp,4,163.75999999999993
859-R_2TIcY7St40mDSbp,5,152.3313000000001
866-R_1gV06gSb8WYiLyG,1,109.77689999999996
866-R_1gV06gSb8WYiLyG,2,116.49170000000001
866-R_1gV06gSb8WYiLyG,3,124.44179999999996
866-R_1gV06gSb8WYiLyG,4,95.52009999999997
866-R_1gV06gSb8WYiLyG,5,98.45419999999999
866-R_31YEgt5MqfcfZMC,1,126.09749999999998
866-R_31YEgt5MqfcfZMC,2,126.2508
866-R_31YEgt5MqfcfZMC,3,110.92579999999997
866-R_31YEgt5MqfcfZMC,4,122.6664
866-R_31YEgt5MqfcfZMC,5,107.46769999999997
868-R_3fr4BoB7aWIvPgR,1,122.21889999999999
868-R_3fr4BoB7aWIvPgR,2,98.78819999999999
868-R_3fr4BoB7aWIvPgR,3,118.85979999999999
868-R_3fr4BoB7aWIvPgR,4,105.18429999999998
868-R_3fr4BoB7aWIvPgR,5,83.94409999999999
869-R_1ISnTo9jrXyYo7m,1,114.07909999999997
869-R_1ISnTo9jrXyYo7m,2,104.0189
869-R_1ISnTo9jrXyYo7m,3,112.94260000000001
869-R_1ISnTo9jrXyYo7m,4,85.4085
869-R_1ISnTo9jrXyYo7m,5,83.87409999999998
870-R_2xVJtapsa8AgCqQ,1,74.46460000000002
870-R_2xVJtapsa8AgCqQ,2,64.7123
870-R_2xVJtapsa8AgCqQ,3,51.9853
870-R_2xVJtapsa8AgCqQ,4,67.6835
870-R_2xVJtapsa8AgCqQ,5,72.1581
872-R_3qROiZsEr7Bcg5H,1,112.60409999999996
872-R_3qROiZsEr7Bcg5H,2,99.55879999999999
872-R_3qROiZsEr7Bcg5H,3,103.12369999999999
872-R_3qROiZsEr7Bcg5H,4,101.40539999999997
872-R_3qROiZsEr7Bcg5H,5,118.55799999999996
874-R_1odMCxxk6eeEibU,1,122.34340000000002
874-R_1odMCxxk6eeEibU,2,122.4009
874-R_1odMCxxk6eeEibU,3,120.76619999999997
874-R_1odMCxxk6eeEibU,4,104.99530000000001
874-R_1odMCxxk6eeEibU,5,116.38719999999998
875-R_sRIghBHHMf7ejap,1,89.79679999999998
875-R_sRIghBHHMf7ejap,2,108.58040000000001
875-R_sRIghBHHMf7ejap,3,120.00869999999998
875-R_sRIghBHHMf7ejap,4,117.53480000000002
875-R_sRIghBHHMf7ejap,5,112.57059999999998
876-R_2EoXmGjYUQr2dur,1,72.34179999999999
876-R_2EoXmGjYUQr2dur,2,84.9475
876-R_2EoXmGjYUQr2dur,3,83.56739999999999
876-R_2EoXmGjYUQr2dur,4,93.3794
876-R_2EoXmGjYUQr2dur,5,82.81649999999999
877-R_3OdnHFXpuFf8un0,1,84.54819999999998
877-R_3OdnHFXpuFf8un0,2,112.5699
877-R_3OdnHFXpuFf8un0,3,92.8031
877-R_3OdnHFXpuFf8un0,4,87.1213
