,subject,fold,1,2,3,4,5,6,7,8,9,10
166,216:R_21j62EoiJ63yEJ5,2,1.1029,0.0045665,0.18132,0.05289,1.0331,1.041,0.74851,0.55936,2.9564,8.4643
167,216:R_21j62EoiJ63yEJ5,3,0.77916,0.042718,0.21685,0.069239,0.89481,1.0615,0.80049,0.37456,3.4821,9.4996
168,216:R_21j62EoiJ63yEJ5,4,0.73826,0.0010245,0.31044,0.066834,0.84517,1.0286,0.83801,0.71493,3.8284,10
169,216:R_21j62EoiJ63yEJ5,5,0.84411,0.0056784,0.30914,0.050001,0.78428,0.97403,0.97321,0.6926,4.2885,9.9993
170,217:R_1JPc2llYzw1ezqs,1,1.633,0.026235,0.42495,0.050746,0.99891,0.73588,0.77827,0.65351,3.2695,9.034
171,217:R_1JPc2llYzw1ezqs,2,1.4286,0.0039351,0.38047,0.11169,0.73387,0.54217,0.76538,0.97073,3.5432,9.8102
172,217:R_1JPc2llYzw1ezqs,3,1.694,0.028661,0.26711,0.050005,0.44557,0.44494,1.1161,0.94188,3.0597,9.9989
173,217:R_1JPc2llYzw1ezqs,4,8.0291,0.001655,0.646,0.061473,1.2317,0.48082,0.58044,0.75589,3.0195,9.2045
174,217:R_1JPc2llYzw1ezqs,5,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
175,221:R_2wvlbfkxX6e4M29,1,5.0659,0.021142,0.19896,0.058472,0.62543,0.66351,0.83449,0.024907,4.5576,9.6728
176,221:R_2wvlbfkxX6e4M29,2,0.53426,0.013054,0.13735,0.051878,0.94854,0.44376,0.56894,0.1176,3.6894,9.9854
177,221:R_2wvlbfkxX6e4M29,3,9.9996,0.01742,0.21585,0.087795,0.56286,0.51466,0.98855,-0.4439,9.9999,7.03
178,221:R_2wvlbfkxX6e4M29,4,6.1584,0.0095836,0.15753,0.050525,0.82116,0.54024,0.72071,0.54356,4.0374,7.7163
179,221:R_2wvlbfkxX6e4M29,5,2.1142,0.12878,0.10027,0.050638,0.88793,0.4611,1.0343,0.91805,4.8174,9.6987
180,226:R_2X10rcLujzFpHxv,1,8.3294,0.001,0.54976,0.050001,1.8035,0.40675,0.86315,0.60598,5.993,9.998
181,226:R_2X10rcLujzFpHxv,2,9.1796,0.0034787,0.32368,0.05,0.95152,0.56427,0.64229,0.75878,7.7307,10
182,226:R_2X10rcLujzFpHxv,3,9.5314,0.0010484,0.50073,0.050025,0.90969,0.68863,0.19907,-0.19728,8.5595,9.1369
183,226:R_2X10rcLujzFpHxv,4,1.7331,0.030253,0.16721,0.053885,0.95836,0.48126,0.60608,0.17975,3.9597,8.8232
184,226:R_2X10rcLujzFpHxv,5,9.5311,0.0010003,0.61948,0.052035,1.8773,0.69252,0.60139,0.40452,6.9416,9.872
185,227:R_2qlLx30lmNEXUJL,1,9.9088,0.0024047,0.56831,0.087881,1.8019,-0.31158,1.5393,-0.54052,4.2307,-3.149
186,227:R_2qlLx30lmNEXUJL,2,4.3986,0.015038,0.45758,0.061332,1.3275,0.47089,0.90179,0.27618,2.962,10
187,227:R_2qlLx30lmNEXUJL,3,4.1616,0.010198,0.51629,0.10627,0.95692,0.38109,0.89133,0.49544,4.3085,6.8317
188,227:R_2qlLx30lmNEXUJL,4,4.6782,0.0010077,0.22436,0.17907,1.2811,-0.090251,0.60197,0.19714,2.9707,9.8423
189,227:R_2qlLx30lmNEXUJL,5,1.0247,0.022113,0.30027,0.053485,0.25122,0.14502,1.9421,1.367,3.7342,9.9997
