,subject,fold,1,2,3,4,5,6,7,8,9,10
151,209:R_1esokoelkIOTy89,2,3446.3,0.0051583,0.63728,0.050051,3.1191,1.743,1.7205,0.11647,8.5069,9.6189
152,209:R_1esokoelkIOTy89,3,15.435,0.0084861,0.62464,0.053795,1.8867,1.7019,2.3913,1.4138,5.0535,9.3416
153,209:R_1esokoelkIOTy89,4,147.54,0.0010044,0.66882,0.19496,2.3559,1.8314,1.2748,-0.026632,8.7766,9.1261
154,209:R_1esokoelkIOTy89,5,1.2442,0.0041541,0.16106,0.050217,0.25078,0.12191,1.5835,0.54797,3.4869,9.7345
155,212:R_OOl4OrOpRgbrLBD,1,11.722,0.99995,0.24608,0.051182,1.0615,-0.13422,0.90484,0.10401,3.099,9.981
156,212:R_OOl4OrOpRgbrLBD,2,1.1218,0.055158,0.25876,0.05353,1.6806,0.68128,0.91275,-0.1688,3.4018,10
157,212:R_OOl4OrOpRgbrLBD,3,139.09,0.99882,0.37318,0.050001,1.1027,0.25584,1.6301,0.26147,6.019,4.0655
158,212:R_OOl4OrOpRgbrLBD,4,0.43347,0.029133,0.13571,0.063689,1.1882,0.5802,0.84183,-0.54087,4.3625,9.9785
159,212:R_OOl4OrOpRgbrLBD,5,198.15,0.99588,0.22805,0.060171,0.97493,-0.01957,1.2336,0.21905,4.2883,9.673
160,215:R_32R47f1GRrLhRdX,1,15.031,0.0053856,0.49562,0.16771,1.3719,0.20785,0.81061,1.1962,5.7908,7.4974
161,215:R_32R47f1GRrLhRdX,2,6.3552,0.001,0.74866,0.097588,1.0038,0.52137,-1.1134,0.94415,6.1561,8.0955
162,215:R_32R47f1GRrLhRdX,3,3.9686,0.51109,0.005127,0.066751,0.25024,0.57129,0.625,0.98145,3.6816,7.5146
163,215:R_32R47f1GRrLhRdX,4,8.6293,0.004824,0.41458,0.12432,1.2054,0.31745,0.41815,1.0754,5.2679,9.6104
164,215:R_32R47f1GRrLhRdX,5,43.297,0.0034884,0.52768,0.23648,1.0898,1.0181,0.45217,0.84778,5.5804,-1.5184
165,216:R_21j62EoiJ63yEJ5,1,0.71762,0.065908,0.20284,0.050534,0.83874,0.60552,0.77511,0.60783,3.3954,9.679
166,216:R_21j62EoiJ63yEJ5,2,2.7279,0.99206,0.15577,0.078898,0.81364,0.91371,0.70676,0.34941,3.1585,10
167,216:R_21j62EoiJ63yEJ5,3,14.396,0.55951,0.24839,0.050001,0.93239,-0.42154,1.3602,0.054884,6.3647,9.2117
168,216:R_21j62EoiJ63yEJ5,4,1.9989,0.63209,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
169,216:R_21j62EoiJ63yEJ5,5,1.6259,0.066067,0.29488,0.051852,1.2171,0.75507,0.91814,0.49565,3.3633,9.7652
170,217:R_1JPc2llYzw1ezqs,1,3.7313,0.036111,0.29371,0.067651,0.69304,0.45878,0.73035,0.88568,3.8173,9.1429
171,217:R_1JPc2llYzw1ezqs,2,2.2726,0.0010014,0.39468,0.052427,0.35,0.37657,1.1733,0.8963,4.8997,9.6759
172,217:R_1JPc2llYzw1ezqs,3,8.0916,0.034325,0.14542,0.096602,0.739,0.55332,0.38916,0.40887,3.7509,9.6661
173,217:R_1JPc2llYzw1ezqs,4,2.9286,0.024798,0.21582,0.050219,0.25005,0.24151,0.82502,1.1851,3.4698,9.9801
174,217:R_1JPc2llYzw1ezqs,5,2.7757,0.0036712,0.53291,0.072424,1.0325,0.44097,0.90496,1.8384,4.4764,9.9989
175,221:R_2wvlbfkxX6e4M29,1,3.8849,0.0047609,0.1247,0.09068,0.47639,0.55323,0.21707,-0.33018,4.3795,9.2957
176,221:R_2wvlbfkxX6e4M29,2,6.6387,0.0046475,0.31553,0.050313,0.87885,0.42743,0.4071,-0.12139,4.2515,9.7716
177,221:R_2wvlbfkxX6e4M29,3,108.19,0.051052,0.1018,0.05085,0.67798,0.41992,1.04,1.4746,6.6357,9.8242
178,221:R_2wvlbfkxX6e4M29,4,4.0304,0.0025471,0.16198,0.052211,0.68397,0.28883,0.73501,0.12304,4.9308,9.9809
179,221:R_2wvlbfkxX6e4M29,5,9.7501,0.0033261,0.21757,0.050034,0.71764,0.1089,0.5706,0.54049,3.3571,9.3474
180,226:R_2X10rcLujzFpHxv,1,13.239,0.0038785,0.28589,0.050428,0.87331,0.68321,0.52393,-0.089408,7.393,9.9722
181,226:R_2X10rcLujzFpHxv,2,9.6752,0.0010051,0.34564,0.050121,1.9969,0.98251,-0.18724,0.62869,4.7227,9.9498
182,226:R_2X10rcLujzFpHxv,3,9.3814,0.0021741,0.50985,0.051465,1.8515,1.1471,0.60729,-0.47793,5.425,9.9996
183,226:R_2X10rcLujzFpHxv,4,5.8372,0.0023658,0.36107,0.050789,1.0699,0.67712,0.57342,-0.30954,6.4258,8.8399
184,226:R_2X10rcLujzFpHxv,5,8.6734,0.0022124,0.41579,0.050439,1.335,0.76179,0.58523,0.73914,6.7202,9.9968
185,227:R_2qlLx30lmNEXUJL,1,4.7936,0.018622,0.35278,0.15811,0.93652,1.2109,1.4453,0.98633,4.2236,7.4756
186,227:R_2qlLx30lmNEXUJL,2,19.629,0.0010197,0.68617,0.11136,2.4532,0.7563,1.8071,0.40924,4.9265,-4.3228
187,227:R_2qlLx30lmNEXUJL,3,19.243,0.0038834,0.61053,0.06135,1.789,0.48202,2.0502,0.13002,7.9749,-5.4442
188,227:R_2qlLx30lmNEXUJL,4,8.5444,0.0011792,0.64984,0.053282,1.7235,-0.14339,0.52211,-0.24801,3.9441,1.9817
189,227:R_2qlLx30lmNEXUJL,5,7.3104,0.0041533,0.37066,0.065079,1.328,-0.025531,1.505,0.63669,4.6032,6.8819
